                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  14.41,                 4.1624,                 4.2153,                0.00248,                0.50564,                0.00394,                0.00131,                 10.391,                 4.2691,                 4.1871,             0.00032456,             0.00032456,             0.00032456
                      1,                 13.894,                 3.8705,                 4.0401,                0.00249,                0.51395,                0.00579,                0.00194,                 11.414,                 4.2559,                  4.129,             0.00065138,             0.00065138,             0.00065138
                      0,                  14.41,                 4.1624,                 4.2153,                0.00248,                0.50564,                0.00394,                0.00131,                 10.391,                 4.2691,                 4.1871,             0.00032456,             0.00032456,             0.00032456
                      2,                 12.507,                 3.6459,                 3.7539,                0.00343,                0.48828,                0.04954,                 0.0165,                 12.972,                 4.6656,                 4.2197,              0.0009716,              0.0009716,              0.0009716
                      1,                 13.894,                 3.8705,                 4.0401,                0.00249,                0.51395,                0.00579,                0.00194,                 11.414,                 4.2559,                  4.129,             0.00065138,             0.00065138,             0.00065138
                      3,                 10.581,                 3.4364,                 3.4127,                0.84553,                0.01812,                0.04379,                0.00975,                 9.1591,                 4.0532,                 3.6282,              0.0009703,              0.0009703,              0.0009703
                      2,                 12.507,                 3.6459,                 3.7539,                0.00343,                0.48828,                0.04954,                 0.0165,                 12.972,                 4.6656,                 4.2197,              0.0009716,              0.0009716,              0.0009716
                      4,                 9.8845,                 3.2723,                 3.1028,                0.51325,                0.11162,                0.04064,                0.01774,                 7.1551,                 3.5606,                 3.0246,              0.0009703,              0.0009703,              0.0009703
                      3,                 10.581,                 3.4364,                 3.4127,                0.84553,                0.01812,                0.04379,                0.00975,                 9.1591,                 4.0532,                 3.6282,              0.0009703,              0.0009703,              0.0009703
                      5,                  8.424,                 3.0779,                 2.8691,                0.46123,                0.10503,                0.05212,                0.01747,                 6.1392,                 3.1348,                 2.8661,              0.0009604,              0.0009604,              0.0009604
                      4,                 9.8845,                 3.2723,                 3.1028,                0.51325,                0.11162,                0.04064,                0.01774,                 7.1551,                 3.5606,                 3.0246,              0.0009703,              0.0009703,              0.0009703
                      6,                 7.8056,                 3.0001,                 2.7712,                0.58127,                0.14848,                0.09127,                0.03638,                  5.745,                  3.244,                 2.5637,              0.0009505,              0.0009505,              0.0009505
                      5,                  8.424,                 3.0779,                 2.8691,                0.46123,                0.10503,                0.05212,                0.01747,                 6.1392,                 3.1348,                 2.8661,              0.0009604,              0.0009604,              0.0009604
                      7,                 7.1982,                   2.82,                 2.5871,                0.24902,                0.27509,                0.05496,                0.01782,                  5.657,                 4.9226,                 2.5699,              0.0009406,              0.0009406,              0.0009406
